Year,candidate,number_of_children,party,age,years_in_politics,estimated_speeches_campaign,bgs_est_speeches_campaign,won_en_Nevada,won_en_Alabama,won_en_Alaska,won_en_Arizona,won_en_Arkansas,won_en_Florida,won_en_Georgia,won_en_Idaho,won_en_Indiana,won_en_Iowa,won_en_Kansas,won_en_Kentucky,won_en_Louisiana,won_en_Maine,won_en_Michigan,won_en_Mississippi,won_en_Missouri,won_en_Montana,won_en_Nebraska,won_en_North Carolina,won_en_North Dakota,won_en_Ohio,won_en_Oklahoma,won_en_Pennsylvania,won_en_South Carolina,won_en_South Dakota,won_en_Tennessee,won_en_Texas,won_en_Utah,won_en_West Virginia,won_en_Wisconsin,won_en_Wyoming,won_en_California,won_en_Colorado,won_en_Connecticut,won_en_Delaware,won_en_Hawaii,won_en_Illinois,won_en_Maryland,won_en_Massachusetts,won_en_Minnesota,won_en_New Hampshire,won_en_New Jersey,won_en_New Mexico,won_en_New York,won_en_Oregon,won_en_Rhode Island,won_en_Vermont,won_en_Virginia,won_en_Washington,"won_en_Washington, D.C.",sum_party_electoral_votes,estimated_count_of_scandals_or_controversies,estimated_approval_ratings,estimated_media_presence_out_of_10,estimated_debate_peformance_out_of_10,endorsement_funds_million_usd,campaign_spending_billion_usd,interest_rates_perc,house_democrat_or_republician,senate_democrat_or_republican,unemployment_rate_perc,GDP_growth_perc,stock_market_return_perc,pre_election_est_state_poll_Florida,pre_election_est_state_poll_Pennsylvania,pre_election_est_state_poll_Michigan,pre_election_est_state_poll_Wisconsin,pre_election_est_state_poll_Arizona,pre_election_est_state_poll_Georgia,pre_election_est_state_poll_North Carolina,pre_election_est_state_poll_Texas,pre_election_est_state_poll_Ohio,pre_election_est_state_poll_Nevada,pre_election_est_state_poll_Iowa,pre_election_est_state_poll_Minnesota,pre_election_est_state_poll_Colorado,pre_election_est_state_poll_Virginia,pre_election_est_state_poll_New Hampshire,pre_election_est_state_poll_Maine,pre_election_est_state_poll_South Carolina,pre_election_est_state_poll_Kentucky,pre_election_est_state_poll_Missouri,pre_election_est_state_poll_Kansas,pre_election_est_state_poll_Nebraska,pre_election_est_state_poll_Indiana,pre_election_est_state_poll_Mississippi,pre_election_est_state_poll_Alabama,pre_election_est_state_poll_Tennessee,pre_election_est_state_poll_Alaska,pre_election_est_state_poll_Arkansas,pre_election_est_state_poll_Idaho,pre_election_est_state_poll_Louisiana,pre_election_est_state_poll_Montana,pre_election_est_state_poll_North Dakota,pre_election_est_state_poll_Oklahoma,pre_election_est_state_poll_South Dakota,pre_election_est_state_poll_Utah,pre_election_est_state_poll_West Virginia,pre_election_est_state_poll_Wyoming,pre_election_est_state_poll_California,pre_election_est_state_poll_Connecticut,pre_election_est_state_poll_Delaware,pre_election_est_state_poll_Hawaii,pre_election_est_state_poll_Illinois,pre_election_est_state_poll_Maryland,pre_election_est_state_poll_Massachusetts,pre_election_est_state_poll_New Jersey,pre_election_est_state_poll_New Mexico,pre_election_est_state_poll_New York,pre_election_est_state_poll_Oregon,pre_election_est_state_poll_Rhode Island,pre_election_est_state_poll_Vermont,pre_election_est_state_poll_Washington,"pre_election_est_state_poll_Washington, D.C.",favorite,president,pre_elec_prob_to_win,electoral_votes,electoral_v_mov
2024,Kamala Harris,0,0,60,21,150,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7643,1,48,8,7,300,3.3,5.375,0,1,4.1,2.1,6.5,0.45,0.49,0.48,0.475,0.465,0.46,0.465,0.415,0.455,0.475,0.44,0.5,0.51,0.48,0.485,0.5,0.41,0.405,0.43,0.385,0.38,0.405,0.39,0.355,0.385,0.475,0.546,0.431,0.412,0.52,0.404,0.566,0.436,0.461,0.486,0.522,0.458,0.491,0.44,0.518,0.522,0.413,0.593,0.461,0.537,0.424,0.407,0.452,0.462,0.509,0.594,0,0,0,269,0
2024,Donald Trump,5,1,78,9,200,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7202,5,44,9,6,400,3.3,5.375,1,0,4.1,2.1,6.5,0.49,0.475,0.465,0.46,0.48,0.485,0.49,0.525,0.485,0.47,0.475,0.45,0.465,0.47,0.465,0.445,0.555,0.565,0.55,0.605,0.625,0.55,0.58,0.61,0.57,0.59,0.52,0.431,0.573,0.542,0.594,0.442,0.437,0.505,0.458,0.428,0.473,0.557,0.503,0.409,0.434,0.59,0.562,0.42,0.488,0.499,0.582,0.533,0.504,0.437,0.555,0,0,0,269,0
2020,Joe Biden,4,0,78,48,250,69,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7337,2,51,8,8,350,1.7,0.25,1,0,8.1,-3.4,16.3,0.478,0.5,0.506,0.513,0.485,0.474,0.476,0.432,0.468,0.492,0.45,0.509,0.534,0.527,0.518,0.525,0.432,0.404,0.412,0.418,0.394,0.398,0.384,0.372,0.387,0.588,0.52,0.418,0.409,0.478,0.566,0.456,0.428,0.415,0.554,0.401,0.541,0.554,0.472,0.573,0.466,0.462,0.546,0.577,0.424,0.552,0.554,0.505,0.405,0.406,0.463,1,1,89,306,74
2020,Donald Trump,5,1,74,5,300,81,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6970,7,43,9,6,300,1.6,0.25,0,1,8.1,-3.4,16.3,0.474,0.469,0.449,0.445,0.464,0.478,0.48,0.485,0.482,0.458,0.478,0.434,0.423,0.433,0.435,0.443,0.514,0.565,0.557,0.549,0.567,0.538,0.595,0.61,0.583,0.579,0.584,0.439,0.465,0.454,0.471,0.509,0.56,0.597,0.44,0.563,0.546,0.415,0.423,0.525,0.413,0.465,0.528,0.494,0.543,0.512,0.499,0.486,0.422,0.527,0.502,0,0,11,232,-74
2016,Donald Trump,5,1,70,1,350,93,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6666,3,48,8,8,280,0.957,0.5,1,1,4.7,1.6,9.5,0.465,0.461,0.445,0.431,0.458,0.491,0.473,0.515,0.468,0.45,0.467,0.445,0.424,0.422,0.426,0.431,0.517,0.625,0.564,0.592,0.61,0.511,0.565,0.621,0.607,0.582,0.482,0.446,0.458,0.586,0.527,0.561,0.579,0.561,0.464,0.446,0.564,0.401,0.483,0.424,0.589,0.504,0.473,0.592,0.499,0.457,0.522,0.41,0.582,0.429,0.597,0,1,29,304,77
2016,Hillary Clinton,1,0,69,37,300,81,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7110,8,38,10,5,220,1.4,0.5,0,0,4.7,1.6,9.5,0.464,0.489,0.474,0.468,0.435,0.447,0.463,0.384,0.439,0.465,0.418,0.469,0.459,0.469,0.455,0.484,0.405,0.347,0.399,0.351,0.332,0.379,0.402,0.368,0.363,0.45,0.551,0.415,0.432,0.562,0.574,0.437,0.508,0.579,0.422,0.485,0.572,0.502,0.444,0.468,0.465,0.541,0.594,0.45,0.46,0.407,0.501,0.456,0.448,0.498,0.448,1,0,71,227,-77
2012,Barack Obama,2,0,51,15,300,81,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6778,1,52,9,7,250,1.1,0.25,0,1,7.8,2.2,13.4,0.479,0.513,0.52,0.51,0.446,0.45,0.478,0.405,0.501,0.502,0.498,0.525,0.485,0.481,0.5,0.552,0.441,0.394,0.429,0.37,0.38,0.413,0.44,0.387,0.39,0.534,0.448,0.474,0.527,0.418,0.464,0.408,0.536,0.502,0.529,0.538,0.587,0.468,0.585,0.452,0.563,0.506,0.419,0.58,0.468,0.545,0.577,0.528,0.432,0.521,0.42,1,1,90,332,126
2012,Mitt Romney,5,1,65,10,250,69,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6460,1,47,7,6,200,0.93,0.25,1,0,7.8,2.2,13.4,0.49,0.472,0.464,0.468,0.522,0.512,0.506,0.572,0.48,0.471,0.472,0.451,0.473,0.477,0.476,0.42,0.54,0.586,0.54,0.602,0.601,0.546,0.555,0.607,0.586,0.552,0.546,0.526,0.507,0.567,0.437,0.518,0.403,0.445,0.435,0.477,0.428,0.423,0.575,0.532,0.511,0.448,0.579,0.527,0.47,0.579,0.556,0.417,0.58,0.402,0.533,0,0,10,206,-126
2008,Barack Obama,2,0,47,11,350,93,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6413,0,53,9,8,240,0.73,1,1,1,5.8,-0.1,-37,0.479,0.513,0.52,0.51,0.446,0.45,0.478,0.405,0.501,0.502,0.498,0.525,0.485,0.481,0.5,0.552,0.441,0.394,0.429,0.37,0.38,0.413,0.44,0.387,0.39,0.401,0.51,0.53,0.542,0.465,0.53,0.532,0.419,0.453,0.595,0.578,0.559,0.515,0.439,0.456,0.529,0.588,0.583,0.403,0.486,0.593,0.459,0.57,0.434,0.587,0.514,1,1,90,365,192
2008,John McCain,7,1,72,26,250,69,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6287,1,45,7,6,140,0.333,1,0,0,5.8,-0.1,-37,0.49,0.472,0.464,0.468,0.522,0.512,0.506,0.572,0.48,0.471,0.472,0.451,0.473,0.477,0.476,0.42,0.54,0.586,0.54,0.602,0.601,0.546,0.555,0.607,0.586,0.432,0.538,0.445,0.447,0.549,0.57,0.514,0.474,0.449,0.479,0.526,0.501,0.499,0.544,0.405,0.435,0.591,0.474,0.586,0.593,0.571,0.477,0.463,0.511,0.539,0.419,0,0,10,173,-192
